sent_rating,processed_text_stem_NoStopwords,data
negativo,som realment entanto conectividad resposta microfon captação deixa desejar importa roteador pared TV funcionar maneira adequada muita tendo dificuldad conectar rede pedirá pra reiniciada muita simplesment ignorar comando conta fica praticament inutilizável pq acaba sendo 90 houvess atualização aparentement há,2021-06-09 00:00:00
negativo,produto respond corretament comando preciso média chamar 2-3x entrei contato chat amazon passou prazo resposta.- produto defeito.- internet residência 8 aparelho conectado simultaneament queda qualidad frame comprar procedimento melhor magalu resolv problema pior frio/ casa bahia,2020-11-26 00:00:00
negativo,compra caixa som pensa normalment leva-la alexa show esqueci nome chamei alzira recurso modernidad modelo caixa som pequena bateria alexa pena pra mim pior sido informado compra tinha recurso procurei loja física informaram há modelo algum caixa som alexa bateria caixa som perfeito,2021-01-05 00:00:00
negativo,funcionalidad comprei lâmpada smart plug control remoto inteligent realment capaz tarefa básica falha comando geralment peço respond alguma frase programo previament reconhec capaz respond comando dublo ligu luz sala desligu luz entrada obrigando falar alexa chato sento mudar nome alexa padrõ amazon dest problema corrigido criação rotina app coisa skill deveriam pronta app,2021-06-16 00:00:00
positivo,excelent assistent som limpo alexa dificuldad encontrar artista chato control volum voz top reconhecimento voz encontrei problema algum deveria voz natur integração youtub músic excelent,2020-12-10 00:00:00
negativo,gostei qualidad som responsividad comando respond adequadament loja skill maravilha echo dot 4 poderia melhor reconhecimento voz estiv distant pouco centímetro suficient barulho atrapalha reconhec alexa melhorar reconhecimento sotaqu jeito falar poderia algum botão recalibragem microfon pra reconhec jeito falar atend você)d resto ótimo dispositivo,2021-02-18 00:00:00
positivo,evolução tecnológica capitalismo baseado livr mercado lucro atendimento anseio pessoa criam inovaçõ comodidad necessidad damo conta começamo utilizar produto echo dot perguntam serv echo dot digo despertador agenda eletrônica entretenimento casa inteligent caso lampada rgb suficient reprodutor áudio multimídia transmissor áudio bluetooth qualidad som tamanho caixinha qualidad deixo madeira cama rarament deixo volum alto som abafado distorcido caixa baixa qualidad surpreendeu qualidad grave tamanho desaponta único tirar estrela necessidad comando ativação alexa brasil sendo país habilitado modo conversa continuum podemo comando sucessivo espero opção seja habilitada ia agregar fluidez,2021-08-01 00:00:00
positivo,achei excelente!escuta distância razoável falar alexa realment divertido treinamento entendimento voz eficient muita funciona via aplicativo vc precisa instalar aplicativo identifiqu lâmpada inteligent execut comando,2021-04-08 00:00:00
negativo,alexa 4 funciona direito fica travando tocar música internet pegando ótima celular tv junto alexa demora respond estando cômoda escuta realiza peço mostrar amigo passei vergonha alexa tocou música respondeu pergunta,2021-11-20 00:00:00
positivo,microfon echo dot ótimo percebi momento aleatório escuta escutar acho causa perfil voz usuário grava acha voz registrada funciona recomendo compra totalment,2020-11-14 00:00:00
positivo,comprei avaliar ficaria conhecia alexa considerando preço comprei decidi ficar sido válida experiência preço atual compraria realment surda som diálogo dela razoável usado escutar música inclusa prime daí conecto amplificador bluetooh conecta comando voz melhora comparável escutar lp cd audio stream praticidad pedir musica viva voz começar instant acaba valendo pena ligar fio amplificador melhora BT dela amplificador bon dia escutei echo modelo dot som melhor justifica investimento acho melhor dot amplificador curiosidad modelo studio descobrir reproduzir mp3 fizess preservando qualidad gerado cd originai alta taxa bit funciona automação residenci,2021-05-19 00:00:00
negativo,produto conecta aceita comando fica desconectando direto decepcionado qualidad,2020-11-09 00:00:00
negativo,reconhecimento voz ruim cogitando devolv comprar geração fiz diverso test comparando echo dot geração aproximadament 10 echo 2 ° escutava echo 4 ° escutava 3 impressionant ano test pesquisa desenvolvimento conseguiram piorar aspecto important produto comprei imaginando reconhecimento vóz melhor fiquei decepcionado única salvar experiência produto atualização softwar corrigiss defeito resta descobrir problema hardwar softwar,2020-11-25 00:00:00
